Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2010,0.119475
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2015,0.127317
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2021,0.0656542
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2025,0.0568182
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2030,0.065855
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2035,0.0738462
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2040,0.0842148
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2045,0.0891956
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2050,0.0879567
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2055,0.0797483
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2060,0.0776641
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2065,0.0724615
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2070,0.0670221
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2075,0.0562877
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2080,0.0460338
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2085,0.0339053
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2090,0.024115
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2095,0.0182393
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2100,0.0161983
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2025,0.0171872
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2030,0.0396175
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2035,0.0717822
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2040,0.111561
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2045,0.15999
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2050,0.218051
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2055,0.276552
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2060,0.377861
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2065,0.489994
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2070,0.601661
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2075,0.70605
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2080,0.805106
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2085,0.874079
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2090,0.950039
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2095,1.02547
EJ,Reference,Pakistan,rooftop_pv,rooftop_pv,elect_td_bld,2100,1.11496
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2025,3.84192e-6
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2030,8.42062e-5
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2035,3.29743e-4
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2040,0.00110756
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2045,0.00266765
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2050,0.00474732
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2055,0.00670523
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2060,0.0106958
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2065,0.0159039
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2070,0.0218825
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2075,0.0283739
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2080,0.0348871
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2085,0.0417435
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2090,0.0480964
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2095,0.0533854
EJ,Reference,Pakistan,solar,CSP_storage,electricity,2100,0.0574894
EJ,Reference,Pakistan,solar,PV,electricity,2015,7.45282e-4
EJ,Reference,Pakistan,solar,PV,electricity,2021,0.00322907
EJ,Reference,Pakistan,solar,PV,electricity,2025,0.02560527
EJ,Reference,Pakistan,solar,PV,electricity,2030,0.12535497
